year,date,actor,actor_type,direction,event_type,scale,detail,source_url,source_type,confidence
2022,May,FTX Future Fund,funder,governance,grant_out,1000000,"FTX FF -> Federation of American Scientists (AI policy, immigration) 3yr [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Jul,FTX Future Fund,funder,interpretability,grant_out,765805,"FTX FF -> Prof David Bau (interpretability, knowledge in LLMs) 2-3yr [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Jul,FTX Future Fund,funder,field_building,grant_out,500000,"FTX FF -> AI Safety Community Building Hub (outreach to ML professionals) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,,FTX Future Fund,funder,field_building,grant_out,490000,"FTX FF -> ML Safety Scholars Program (100 students, 9wk) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Jul,FTX Future Fund,funder,governance,grant_out,400000,"FTX FF -> Chatham House (UK AI policy) 2022-23 [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Aug,FTX Future Fund,funder,robustness,grant_out,350000,"FTX FF -> UC Santa Cruz Cihang Xie (adversarial robustness, honest AI) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Jun,FTX Future Fund,funder,interpretability,grant_out,125000,"FTX FF -> Neel Nanda (independent interpretability research) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Jun,FTX Future Fund,funder,interpretability,grant_out,150000,"FTX FF -> Aligned AI (bridging funding) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2015,,FLI,funder,mixed_technical,statement,2000000,"FLI AI Safety Research (primary source): 37 grantees, >$2M, Musk-funded; 45 pubs by 2016 [Wayback: dead FLI page]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,macrostrategy,grant_out,1500000,"FLI 2015 -> Bostrom/Oxford: Strategic Research Center for AI (=SAIRC), biggest single grant [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,value_learning,grant_out,342727,"FLI 2015 -> Russell/Berkeley: Value Alignment and Moral Metareasoning [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,value_learning,grant_out,227212,"FLI 2015 -> Owain Evans/Oxford: Inferring Human Values (IRL, 'learning ought not is') [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,agent_foundations,grant_out,250000,"FLI 2015 -> Fallenstein/MIRI: Aligning Superintelligence With Human Interests [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,scalable_oversight,grant_out,50000,"FLI 2015 -> Christiano/Berkeley: Counterfactual Human Oversight (early oversight work) [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,robustness,grant_out,255160,"FLI 2015 -> Liang/Stanford: Predictable AI via Failure Detection and Robustness [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2015,,FLI,funder,governance,grant_out,136918,"FLI 2015 -> Roff/Denver: Lethal Autonomous Weapons & Meaningful Human Control [Wayback]",https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,wayback,high
2018,,FLI,funder,mixed_technical,statement,,"FLI 2018 second grant round (primary source): 10 project grants [Wayback: dead FLI page]",https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,wayback,high
2018,,FLI,funder,governance,grant_out,276000,"FLI 2018 -> Dafoe/Yale: Governance of AI Programme (China, verification, gov-firm relations) [Wayback]",https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,wayback,high
2018,,FLI,funder,scalable_oversight,grant_out,225000,"FLI 2018 -> Owain Evans/Oxford: Factored Cognition (empirical study of Christiano's IDA) [Wayback]",https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,wayback,high
2018,,FLI,funder,agent_foundations,grant_out,276000,"FLI 2018 -> Hutter/ANU: Control Problem for Universal AI, embedded agency [Wayback]",https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,wayback,high
2018,,FLI,funder,multi_agent_safety,grant_out,224747,"FLI 2018 -> The Anh Han/Teesside: Incentives for Safety Compliance in AI Race (evo game theory) [Wayback]",https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,wayback,high
2018,,FLI,funder,value_learning,grant_out,250000,"FLI 2018 -> Sadigh/Stanford: Safe Learning & Verification of Human-AI Systems (reward mixtures) [Wayback]",https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,wayback,high
2016,,Open Philanthropy,funder,mixed_technical,statement,,"OpenPhil AI cause framed (archived focus page): 'technical research to reduce accidents + strategic/policy work'; Daniel Dewey leads (joined 2015) [Wayback]",https://web.archive.org/web/20180129155830id_/https://www.openphilanthropy.org/focus/global-catastrophic-risks/potential-risks-advanced-artificial-intelligence,wayback,high
2024,,Open Philanthropy,funder,mixed_technical,pivot,,"OpenPhil renames program 'Potential Risks from Advanced AI' -> 'Navigating Transformative AI'; framing broadens",https://www.lesswrong.com/posts/SfXEj4u32sWyHTCfL/updating-the-name-of-open-philanthropy-s-ai-program,lw,high
2023,,FHI,research,macrostrategy,statement,,"FHI final focus (archived homepage, Jan2024): macrostrategy (Ord cosmology/moral uncertainty, Bostrom), extreme-risk policy (Future Proof), Drexler QNRs [Wayback]",https://web.archive.org/web/20240101083941id_/https://www.fhi.ox.ac.uk/,wayback,high
2015,,Open Philanthropy,funder,mixed_technical,funding_total,1186000,"OpenPhil AI-safety total 2015 (vipulnaik DB, preliminary; series 2015-2023)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2016,,Open Philanthropy,funder,mixed_technical,funding_total,6563985,"OpenPhil AI-safety total 2016",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2017,,Open Philanthropy,funder,mixed_technical,funding_total,43221048,"OpenPhil AI-safety total 2017 (dominated by $30M OpenAI grant)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2018,,Open Philanthropy,funder,mixed_technical,funding_total,4160392,"OpenPhil AI-safety total 2018 (dip)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2019,,Open Philanthropy,funder,mixed_technical,funding_total,8243500,"OpenPhil AI-safety total 2019 (+ $55M CSET classified separately as Security)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2020,,Open Philanthropy,funder,mixed_technical,funding_total,15571349,"OpenPhil AI-safety total 2020",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2021,,Open Philanthropy,funder,mixed_technical,funding_total,81661316,"OpenPhil AI-safety total 2021 (PEAK)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2022,,Open Philanthropy,funder,mixed_technical,funding_total,57955777,"OpenPhil AI-safety total 2022",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2023,,Open Philanthropy,funder,mixed_technical,funding_total,57959108,"OpenPhil AI-safety total 2023 (vipulnaik data ends here)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2016,,Open Philanthropy,funder,technical_safety,funding_total,6055550,"OpenPhil AI technical-research 2016",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2017,,Open Philanthropy,funder,technical_safety,funding_total,9366506,"OpenPhil AI technical-research 2017",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2019,,Open Philanthropy,funder,technical_safety,funding_total,8243500,"OpenPhil AI technical-research 2019",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2020,,Open Philanthropy,funder,technical_safety,funding_total,12918204,"OpenPhil AI technical-research 2020",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2021,,Open Philanthropy,funder,technical_safety,funding_total,29683390,"OpenPhil AI technical-research 2021",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2022,,Open Philanthropy,funder,technical_safety,funding_total,20227923,"OpenPhil AI technical-research 2022",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2023,,Open Philanthropy,funder,technical_safety,funding_total,23708065,"OpenPhil AI technical-research 2023",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2024,,Open Philanthropy,funder,technical_safety,funding_total,28000000,"OpenPhil/Coefficient technical-AI-safety 2024: ~$28M recorded in grants DB (LW analysis; 68% evaluations/benchmarking) [flag: NOT vipulnaik-comparable methodology; incomplete - org self-reports 'roughly $50M' incl unposted grants + ~$25M on eval benchmarks per their 2024 progress report]",https://www.lesswrong.com/posts/adzfKEW98TswZEA6T/brief-analysis-of-op-technical-ai-safety-funding,lw,med
2018,,Open Philanthropy,funder,governance,funding_total,400000,"OpenPhil AI governance 2018 (governance funding begins)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2020,,Open Philanthropy,funder,governance,funding_total,1506074,"OpenPhil AI governance 2020",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2021,,Open Philanthropy,funder,governance,funding_total,3425686,"OpenPhil AI governance 2021",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2022,,Open Philanthropy,funder,governance,funding_total,10255800,"OpenPhil AI governance 2022 (surge)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2023,,Open Philanthropy,funder,governance,funding_total,18412276,"OpenPhil AI governance 2023 (governance now largest subtrack)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2022,,Open Philanthropy,funder,macrostrategy,funding_total,16278241,"OpenPhil AI strategy 2022",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2023,,Open Philanthropy,funder,macrostrategy,funding_total,7399026,"OpenPhil AI strategy 2023",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2022,,Open Philanthropy,funder,field_building,funding_total,4703395,"OpenPhil AI talent-pipeline 2022 (MATS-era)",https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,vipulnaik,high
2017,,LTFF,funder,mixed_technical,funding_total,14838,"LTFF AI-safety total 2017 (vipulnaik; total series $3.64M, much smaller than OpenPhil/SFF)",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2018,,LTFF,funder,mixed_technical,funding_total,564494,"LTFF AI-safety total 2018",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2019,,LTFF,funder,mixed_technical,funding_total,571900,"LTFF AI-safety total 2019",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2020,,LTFF,funder,mixed_technical,funding_total,250000,"LTFF AI-safety total 2020",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2021,,LTFF,funder,mixed_technical,funding_total,293000,"LTFF AI-safety total 2021",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2022,,LTFF,funder,mixed_technical,funding_total,923377,"LTFF AI-safety total 2022",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2023,,LTFF,funder,mixed_technical,funding_total,1024238,"LTFF AI-safety total 2023 (vipulnaik ends here)",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2022,,LTFF,funder,technical_safety,funding_total,344827,"LTFF technical-research 2022",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2023,,LTFF,funder,technical_safety,funding_total,847701,"LTFF technical-research 2023",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2022,,LTFF,funder,field_building,funding_total,578550,"LTFF talent-pipeline+movement 2022",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2023,,LTFF,funder,field_building,funding_total,176537,"LTFF movement-growth 2023",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2019,,LTFF,funder,agent_foundations,funding_total,140000,"LTFF deconfusion+agent-foundations 2019",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2021,,LTFF,funder,governance,funding_total,135000,"LTFF governance 2021",https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,vipulnaik,high
2024,May,Anthropic,industry,interpretability,publication,,"'Scaling Monosemanticity' (21 May 2024): sparse autoencoders extract ~34M interpretable features from Claude 3 Sonnet - first look inside a production LLM ('Golden Gate Claude' feature steering). Fills 2024 interp coverage vs pub-curve explosion",https://transformer-circuits.pub/2024/scaling-monosemanticity/,anthropic,high
2024,Jun,OpenAI,industry,interpretability,publication,,"'Scaling and evaluating sparse autoencoders' (arXiv 2406.04093, Jun 2024): 16M-latent SAE on GPT-4 activations; scaling laws for dictionary learning",https://arxiv.org/abs/2406.04093,arxiv,high
2025,Mar,Anthropic,industry,interpretability,publication,,"'Circuit Tracing' + 'On the Biology of a Large Language Model' (27 Mar 2025): attribution graphs trace computation inside Claude 3.5 Haiku - circuits era of mech interp",https://transformer-circuits.pub/2025/attribution-graphs/biology.html,anthropic,high
2024,May,UK AISI,government,evals,program_launch,,"UK AI Safety Institute open-sources 'Inspect' (10 May 2024): first state-backed AI-safety eval framework (datasets/solvers/scorers), MIT license",https://www.gov.uk/government/news/ai-safety-institute-releases-new-ai-safety-evaluations-platform,gov,high
2024,Dec,Anthropic,industry,model_organisms,publication,,"'Alignment Faking in Large Language Models' (18 Dec 2024, Anthropic + Redwood; arXiv 2412.14093): first empirical demo Claude 3 Opus strategically fakes alignment to preserve preferences",https://arxiv.org/abs/2412.14093,arxiv,high
2025,Apr,Redwood Research,research,ai_control,publication,,"'Ctrl-Z: Controlling AI Agents via Resampling' (arXiv 2504.10374, Apr 2025): first agentic control eval (BashBench, 257 tasks); resample protocols cut attack success 58%->7%",https://arxiv.org/abs/2504.10374,arxiv,high
2026,May,Anthropic,industry,interpretability,publication,,"'Natural Language Autoencoders' (7 May 2026): NLAs translate Claude activations into readable text; surfaced unverbalized evaluation-awareness in pre-deployment audit of Claude Opus 4.6 (~16-26% of benchmark transcripts vs <1% real traffic) [H1-2026 partial year]",https://transformer-circuits.pub/2026/nla,anthropic,high
2026,Apr,UK AISI,government,evals,publication,,"AISI cyber-evals 2026: Claude Mythos Preview (13 Apr) first model to complete the 32-step 'The Last Ones' network-attack range end-to-end; GPT-5.5 (30 Apr) second - autonomous offensive-cyber now a frontier property [H1-2026 partial year]",https://www.aisi.gov.uk/blog/our-evaluation-of-claude-mythos-previews-cyber-capabilities,gov,high
2026,May,EU,government,governance,statement,,"EU AI Act 'Digital Omnibus' - provisional political agreement 7 May 2026 (Parliament adoption Jun 2026); first amendments to the AI Act; GPAI obligations (Art 51-56, in force Aug 2025) left unchanged [H1-2026 partial; secondary sources]",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,gov,med
2025,Nov,Open Philanthropy,funder,field_building,pivot,,"Open Philanthropy rebrands to 'Coefficient Giving' (announced 18 Nov 2025); now 13 cause-specific multi-donor funds rather than one anchor donor (Good Ventures) - the field's dominant funding artery renamed; >$100M from non-Good-Ventures donors in 2024",https://coefficientgiving.org/,org,high
2026,,SFF,funder,field_building,statement,,"SFF-2026 S-Process round announced: est. $20-40M across Main + 3 new theme rounds; recommendations expected Fall 2026 (NOT yet distributed - no confirmed 2026 grant total) [honest gap: 2026 money not final]",https://survivalandflourishing.fund/2026/application,sff,med
2024,,Goodfire,industry,interpretability,founded,,"Goodfire founded (2024): first venture-backed interpretability company, commercialising SAE/mechanistic-interp tooling; ~29 FTE by 2025 - interpretability moves from labs into dedicated firms",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Transluce,research,interpretability,founded,,"Transluce founded (2024, Jacob Steinhardt & Sarah Schwettmann): nonprofit building open interpretability & oversight tools; ~15 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Palisade Research,research,evals,founded,,Palisade Research founded (2024): demonstrates offensive/dangerous AI capabilities to inform policy (AI-security evals),https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Gray Swan AI,industry,evals,founded,,Gray Swan AI founded (2024): adversarial robustness / red-teaming startup (AI security),https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,Feb,European AI Office,government,governance,program_launch,,European AI Office established inside the European Commission (2024) to enforce the EU AI Act and oversee general-purpose AI; ~50 staff,https://digital-strategy.ec.europa.eu/en/policies/ai-office,gov,high
2024,Nov,Canadian AISI,government,governance,founded,,"Canada launches the Canadian AI Safety Institute (CAISI, Nov 2024); CIFAR runs its research program ($2.4M / 12 projects in 2025)",https://ised-isde.canada.ca/site/ised/en/canadian-artificial-intelligence-safety-institute,gov,high
2024,May,Intl AI Safety Report,governance,governance,publication,,"International AI Safety Report - Interim Report (May 2024, Bengio-chaired 30-country panel), presented at the AI Seoul Summit",https://internationalaisafetyreport.org/,gov,high
2024,,MIRI,research,governance,pivot,,MIRI shifts strategy in 2024 from technical agent-foundations research to public communications & policy advocacy - end of its core research era,https://intelligence.org/2024/01/04/miri-2024-mission-and-strategy-update/,org,high
2025,Jan,Intl AI Safety Report,governance,governance,publication,,"First full International AI Safety Report (Jan 2025, Bengio-chaired) ahead of the Paris AI Action Summit - the field's IPCC-style consensus document",https://internationalaisafetyreport.org/publication/international-ai-safety-report-2025,gov,high
2025,Feb,France,government,governance,statement,,"AI Action Summit, Paris (10-11 Feb 2025): successor to Bletchley/Seoul; tone pivots from 'safety' to 'action'/adoption - part of the 2025 de-emphasis of the 'safety' framing",https://www.elysee.fr/en/ai-action-summit,gov,high
2025,Jun,LawZero,research,robustness,founded,,"LawZero launched (3 Jun 2025, Yoshua Bengio): nonprofit building non-agentic 'Scientist AI' as a safe-by-design oversight layer; ~$30M initial backing",https://lawzero.org/,org,high
2025,,Geodesic,research,scalable_oversight,founded,,Geodesic Research founded (2025): chain-of-thought (CoT) monitorability - a 2025 research frontier,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2025,,Softmax,research,multi_agent_safety,founded,,Softmax founded (2025): multi-agent alignment research org,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2025,,Formation Research,research,macrostrategy,founded,,Formation Research founded (2025): lock-in / long-term risk research,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2025,Jul,multi-lab,research,scalable_oversight,publication,,'Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety' (Jul 2025): position paper co-signed across OpenAI/DeepMind/Anthropic/UK AISI et al. - defines a shared 2025 CoT-oversight agenda,https://arxiv.org/abs/2507.11473,arxiv,high
2024,,Guide Labs,industry,interpretability,founded,,Guide Labs founded (2024): interpretability startup (interpretable-by-design foundation models); ~4 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Simplex,research,interpretability,founded,,Simplex founded (2024): interpretability research (dynamics/singular-learning-theory flavour); ~2 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Tilde,industry,interpretability,founded,,Tilde founded (2024): interpretability research org/startup; ~5 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Decode Research,research,interpretability,founded,,Decode Research founded (2024): interpretability tooling (Neuronpedia); ~2 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Luthien,research,ai_control,founded,,Luthien founded (2024): AI-control research (redwood-style control in practice); ~1 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Virtue AI,industry,evals,founded,,Virtue AI founded (2024): AI-security / safety-evaluation startup; ~3 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Aether,research,robustness,founded,,Aether Research founded (2024): LLM-safety research group; ~3 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Contramont Research,research,robustness,founded,,Contramont Research founded (2024): LLM-safety research; ~3 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,CaML,research,robustness,founded,,CaML founded (2024): LLM-safety research; ~3 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Shi Feng group (GWU),research,robustness,founded,,Shi Feng research group (George Washington University) formed (2024): LLM-safety; ~3 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,ARIA Safeguarded AI,government,robustness,program_launch,,"UK ARIA 'Safeguarded AI' programme (davidad, 2024): provably-safe / quantitative-guarantee agenda funded by the UK Advanced Research and Invention Agency",https://www.aria.org.uk/programme-safeguarded-ai/,gov,med
2025,,Meta Superintelligence Safety,industry,robustness,founded,,Meta stands up a superintelligence 'alignment & safety' team (2025) inside its Superintelligence Labs; ~5 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Beijing Inst. of AI Safety & Governance,governance,governance,founded,,"Beijing Institute of AI Safety and Governance (Beijing-AISI, 2024): China-side AI-safety/governance research; ~5 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,IASEAI,governance,governance,founded,,"International Association for Safe and Ethical AI founded (2024; first conference Feb 2025, Paris); ~3 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,AI Futures Project,research,forecasting,founded,,"AI Futures Project founded (2024, Daniel Kokotajlo et al.): AI-scenario forecasting; produced the 'AI 2027' scenario; ~5 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,AI Lab Watch,meta,governance,founded,,"AI Lab Watch launched (2024, Zach Stein-Perlman): tracks & scores frontier-lab safety practices; ~1 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,CARMA,research,macrostrategy,founded,,CARMA (Center for AI Risk Management & Alignment) founded (2024): risk-management / macrostrategy; ~10 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,Cosmos Institute,research,macrostrategy,founded,,"Cosmos Institute founded (2024, Brendan McCord): philosophy of AI & human flourishing; ~5 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,AI Standards Labs,governance,governance,founded,,AI Standards Labs founded (2024): drafting technical AI-safety standards; ~2 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,CeSIA,governance,governance,founded,,"CeSIA (Centre pour la Securite de l'IA, France) founded (2024): AI-safety advocacy/field-building; ~5 FTE",https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,,AI Whistleblower Initiative,governance,governance,founded,,The AI Whistleblower Initiative founded (2024): legal/structural support for AI-lab whistleblowers; ~5 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2025,,Intl AI Governance Alliance,governance,governance,founded,,International AI Governance Alliance founded (2025): AI-governance advocacy; ~1 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2025,,China AI Safety & Development Assoc.,governance,governance,founded,,China AI Safety and Development Association (CnAISDA) founded (2025): China-side AI-safety/governance coordination body; ~10 FTE,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,secondary,med
2024,Jul,DeepMind,industry,interpretability,publication,,'Gemma Scope' (Jul 2024): DeepMind open-sources a comprehensive suite of SAEs for Gemma-2 - interpretability tooling as public infrastructure,https://arxiv.org/abs/2408.05147,arxiv,high
2024,May,DeepMind,industry,evals,program_launch,,DeepMind publishes its 'Frontier Safety Framework' (May 2024): capability thresholds + mitigations for frontier models - lab-side risk governance,https://deepmind.google/discover/blog/introducing-the-frontier-safety-framework/,org,high
2024,Oct,Anthropic,industry,governance,statement,,Anthropic publishes an updated Responsible Scaling Policy (Oct 2024): ASL capability thresholds & required safeguards - self-governance template copied across labs,https://www.anthropic.com/news/announcing-our-updated-responsible-scaling-policy,org,high
2024,Oct,Anthropic,industry,evals,publication,,'Sabotage Evaluations for Frontier Models' (Oct 2024): tests whether models can subvert oversight/OP decisions - evals move to adversarial 'can it undermine us' questions,https://arxiv.org/abs/2410.21514,arxiv,high
2024,Dec,OpenAI,industry,scalable_oversight,publication,,'Deliberative Alignment' (Dec 2024): train models to explicitly reason over a safety spec before answering; OpenAI's post-Superalignment alignment bet (o-series),https://arxiv.org/abs/2412.16339,arxiv,high
